OBJECTID,NOME STRUTTURA,DESCRIZIONE,TIPO ATTIVITA',TIPO STRUTTURA,PRONTO SOCCORSO,PRONTO SOCCORSO PEDIATRICO,PUNTO DI PRIMO INTERVENTO,STRUTTURA  ACCREDITATA,INDIRIZZO,CAP,COMUNE,PROVINCIA,CODICE ATS,ATS,CODICE ASST,ASST,CODICE DISTRETTO SANITARIO,DISTRETTO SANITARIO,N° TELEFONO,LATITUDINE,LONGITUDINE
4931,OSPEDALE ASILO VITTORIA - MORTARA-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (POLIAMB. OSP. MORTARA),AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PUBBLICA,N/A,N/A,N/A,SI,STRADA PAVESE,1125,27036,MORTARA,PV,030328,ATS DI PAVIA,030727,ASST DI PAVIA,891,MORTARA,03842041,45.24668,8.7651
4932,OSPEDALE ARNABOLDI - BRONI-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (POLIAMB OSP. BRONI),AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PUBBLICA,N/A,N/A,N/A,SI,VIA EMILIA,351,27043,BRONI,PV,030328,ATS DI PAVIA,030727,ASST DI PAVIA,886,BRONI-STRADELLA,03855821,45.0690889,9.2675737
4933,OSPEDALE CIVILE VIGEVANO-PSICHIATRIA-1-AMBULATORIO PRINCIPALE-1 (C.P.S. MORTARA),AMBULATORIO PSICHIATRICO,ASSISTENZA PSICHIATRICA,PUBBLICA,N/A,N/A,N/A,SI,VIA BELDIPORTO,35,27036,MORTARA,PV,030328,ATS DI PAVIA,030727,ASST DI PAVIA,891,MORTARA,0384204800,45.24891015,8.73852686
4934,OSPEDALE S. MARTINO - MEDE-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (POLIAMB. OSP. MEDE),AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PUBBLICA,N/A,N/A,N/A,SI,VIALE DEI MILLE,23,27035,MEDE,PV,030328,ATS DI PAVIA,030727,ASST DI PAVIA,890,GARLASCO,03848081,45.0915615,8.7307885
4935,NUOVO OSPEDALE DI BRONI STRADELLA-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (POLIAMBULATORIO OSPEDALE UNIFICATO DI BRONI-STRADELLA),AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PUBBLICA,N/A,N/A,N/A,SI,VIA CARLO ACHILLI,27049,STRADELLA,PV,030328,ATS DI PAVIA,030727,ASST DI PAVIA,886,BRONI-STRADELLA,03855821,45.07612,9.28744
4936,OSPEDALE SS.ANNUNZIATA - VARZI-MEDICINA GENERALE-1-CAL-1 (C.A.L. OSPEDALE VARZI),CENTRO DI ASSISTENZA LIMITATA (DIALISI),ASSISTENZA LIMITATA DIALISI,PUBBLICA,N/A,N/A,N/A,SI,VIA FORTUNATO REPETTI,2,27057,VARZI,PV,030328,ATS DI PAVIA,030727,ASST DI PAVIA,894,VOGHERA-VARZI,03835471,44.8251008,9.190977
4937,OSPEDALE CIVILE DI VOGHERA-PSICHIATRIA-1-CENTRO DIURNO-1 (CD DI STRADELLA),CENTRO DIURNO PSICHIATRICO,ASSISTENZA PSICHIATRICA,PUBBLICA,N/A,N/A,N/A,SI,VIA VESCOLA,27049,STRADELLA,PV,030328,ATS DI PAVIA,030727,ASST DI PAVIA,886,BRONI-STRADELLA,0385582214,45.07728,9.28749
4938,OSPEDALE CIVILE VIGEVANO-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (POLIAMB. OSP. VIGEVANO),AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PUBBLICA,N/A,N/A,N/A,SI,CORSO MILANO,19,27029,VIGEVANO,PV,030328,ATS DI PAVIA,030727,ASST DI PAVIA,893,VIGEVANO,03813331,45.32136994,8.86499315
4939,OSPEDALE SS.ANNUNZIATA - VARZI-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (POLIAMB. OSP. VARZI),AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PUBBLICA,N/A,N/A,N/A,SI,VIA FORTUNATO REPETTI,2,27057,VARZI,PV,030328,ATS DI PAVIA,030727,ASST DI PAVIA,894,VOGHERA-VARZI,03835471,44.8251008,9.190977
4940,OSPEDALE CARLO MIRA - CASORATE PRIMO-PSICHIATRIA-1-SRP1-CRM-1 (C.R.T. PAVIA),COMUNITA' RIABILITATIVA PSICHIATRICA A MEDIA ASSISTENZA,ASSISTENZA PSICHIATRICA,PUBBLICA,N/A,N/A,N/A,SI,VIA DEI VIVAI,19,27100,PAVIA,PV,030328,ATS DI PAVIA,030727,ASST DI PAVIA,892,PAVIA,0382432808,45.19123,9.13406
4941,OSPEDALE CIVILE DI VOGHERA-PSICHIATRIA-1-SRP1-CRA-1 (C.R.T. CASTEGGIO),COMUNITA' RIABILITATIVA PSICHIATRICA AD ALTA ASSISTENZA,ASSISTENZA PSICHIATRICA,PUBBLICA,N/A,N/A,N/A,SI,VIA MONSIGNOR FRANCESCO TORTA,2,27045,CASTEGGIO,PV,030328,ATS DI PAVIA,030727,ASST DI PAVIA,887,CASTEGGIO,0383890065,45.0128032,9.124256
4942,OSPEDALE CIVILE DI VOGHERA-PSICHIATRIA-1-AMBULATORIO PRINCIPALE-1 (C.P.S. STRADELLA - CASTEGGIO),AMBULATORIO PSICHIATRICO,ASSISTENZA PSICHIATRICA,PUBBLICA,N/A,N/A,N/A,SI,VIA VESCOLA,27049,STRADELLA,PV,030328,ATS DI PAVIA,030727,ASST DI PAVIA,886,BRONI-STRADELLA,0385582214,45.07728,9.28749
4943,NUOVO OSPEDALE DI BRONI STRADELLA-MEDICINA GENERALE-1-CAL-1 (C.A.L. OSPEDALE UNIFICATO DI BRONI-STRADELLA),CENTRO DI ASSISTENZA LIMITATA (DIALISI),ASSISTENZA LIMITATA DIALISI,PUBBLICA,N/A,N/A,N/A,SI,VIA CARLO ACHILLI,27049,STRADELLA,PV,030328,ATS DI PAVIA,030727,ASST DI PAVIA,886,BRONI-STRADELLA,0385582190,45.07612,9.28744
4944,I.N.R.C.A. - PRESIDIO DI CASATENOVO-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (POLIAMBULATORIO I.N.R.C.A.),AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PUBBLICA,N/A,N/A,N/A,SI,VIA MONTEREGIO,13,23880,CASATENOVO,LC,030324,ATS DELLA BRIANZA,030715,ASST DI LECCO,854,MERATE,03992321,45.699135,9.2984597
4945,ISTITUTO NAZIONALE TUMORI-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (ISTITUTO NAZIONALE TUMORI),AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PUBBLICA,N/A,N/A,N/A,SI,VIA GIACOMO VENEZIAN,1,20133,MILANO,MI,030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030703,ASST FATEBENEFRATELLI SACCO,895,MUNICIPIO 3,0223901,45.4743871,9.23138
4946,POLICLINICO "SAN MATTEO"-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (IRCCS POLICLINICO S.MATTEO),AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PUBBLICA,N/A,N/A,N/A,SI,VIALE CAMILLO GOLGI,19,27100,PAVIA,PV,030328,ATS DI PAVIA,030727,ASST DI PAVIA,892,PAVIA,03825011,45.19614,9.14897
4947,FONDAZIONE IRCCS CA' GRANDA - OSPEDALE MAGGIORE POLICLINICO-PSICHIATRIA-1-SRP1-CRA-1 (SRP1 - C.R.A. FONDAZIONE IRCCS "CA' GRANDA" OMP:  RIPAMONTI),COMUNITA' RIABILITATIVA PSICHIATRICA AD ALTA ASSISTENZA,ASSISTENZA PSICHIATRICA,PUBBLICA,N/A,N/A,N/A,SI,VIA GIUSEPPE RIPAMONTI,20,20136,MILANO,MI,030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030702,ASST SANTI PAOLO E CARLO,813,MUNICIPIO 5,0255035380,45.4497382,9.1970291
4948,FONDAZIONE IRCCS CA' GRANDA - OSPEDALE MAGGIORE POLICLINICO-PSICHIATRIA-1-CPS-3 (FONDAZIONE IRCCS "CA' GRANDA" OMP CPS VIA FANTOLI),CENTRO PSICO SOCIALE,ASSISTENZA PSICHIATRICA,PUBBLICA,N/A,N/A,N/A,SI,VIA GAUDENZIO FANTOLI,7,20138,MILANO,MI,030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030703,ASST FATEBENEFRATELLI SACCO,812,MUNICIPIO 4,0258013132,45.4517026,9.2517058
4949,FONDAZIONE IRCCS CA' GRANDA - OSPEDALE MAGGIORE POLICLINICO-PSICHIATRIA-1-CPS-2 (FONDAZIONE IRCCS "CA' GRANDA" OMP: CPS VIA RIPAMONTI),CENTRO PSICO SOCIALE,ASSISTENZA PSICHIATRICA,PUBBLICA,N/A,N/A,N/A,SI,VIA GIUSEPPE RIPAMONTI,20,20136,MILANO,MI,030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030702,ASST SANTI PAOLO E CARLO,813,MUNICIPIO 5,0255035660,45.4497382,9.1970291
4950,FONDAZIONE IRCCS CA' GRANDA - OSPEDALE MAGGIORE POLICLINICO-NEUROPSICHIATRIA INFANTILE-1-AMBULATORIO PRINCIPALE-1 (FONDAZIONE IRCCS "CA' GRANDA" OMP: AMB. POLO OSP.NEUOPPS. UONPIA ),AMBULATORIO NEUROPSICHIATRICO INFANTILE,ASSISTENZA NEUROPSICHIATRICA INFANTILE,PUBBLICA,N/A,N/A,N/A,SI,VIA FRANCESCO SFORZA,28,20122,MILANO,MI,030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030703,ASST FATEBENEFRATELLI SACCO,808,MUNICIPIO 1,0255033202,45.4603851,9.1959254
4951,FONDAZIONE IRCCS CA' GRANDA - OSPEDALE MAGGIORE POLICLINICO-PSICHIATRIA-1-CPS-4 (FONDAZIONE IRCCS "CA' GRANDA" OMP: CPS VIA ASIAGO),CENTRO PSICO SOCIALE,ASSISTENZA PSICHIATRICA,PUBBLICA,N/A,N/A,N/A,SI,VIA ASIAGO,9/5,20128,MILANO,MI,030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030703,ASST FATEBENEFRATELLI SACCO,811,MUNICIPIO 2,0227003856,45.5053174,9.2256991
4952,FONDAZIONE IRCCS CA' GRANDA - OSPEDALE MAGGIORE POLICLINICO-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (FONDAZIONE IRCCS "CA' GRANDA" OMP: PRESIDIO AMBULATORIALE OMP),AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PUBBLICA,N/A,N/A,N/A,SI,VIA FRANCESCO SFORZA,35,20122,MILANO,MI,030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030703,ASST FATEBENEFRATELLI SACCO,808,MUNICIPIO 1,0255033202,45.4589626,9.1949306
4953,PRESIDIO OSPEDALIERO OSPEDALE NIGUARDA CA' GRANDA-POLIAMBULATORIO-1-AMBULATORIO PRINCIPALE-1 (CENTRO ODONTOSTOMATOLOGICO),AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PUBBLICA,N/A,N/A,N/A,SI,VIA GIACOMO FILIPPO BESTA,20161,MILANO,MI,030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030701,ASST GRANDE OSPEDALE METROPOLITANO NIGUARDA,810,MUNICIPIO 9,0264445261,45.51883,9.16365
4954,OSPEDALE SAN PAOLO-NEUROPSICHIATRIA INFANTILE-1-CENTRO DIURNO-1 (UONPIA CENTRO DIURNO SEMIRESIDENZIALE AUTISMO),CENTRO DIURNO NEUROPSICHIATRICO INFANTILE,ASSISTENZA NEUROPSICHIATRICA INFANTILE,PUBBLICA,N/A,N/A,N/A,SI,VIA OVADA,34,20142,MILANO,MI,030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030702,ASST SANTI PAOLO E CARLO,814,MUNICIPIO 6,0281843401,45.4358769,9.1594729
4955,VILLA MEARDI-NEUROPSICHIATRIA INFANTILE-1-CENTRO DIURNO-2 (CENTRO DIURNO VILLA MEARDI),CENTRO DIURNO NEUROPSICHIATRICO INFANTILE,ASSISTENZA NEUROPSICHIATRICA INFANTILE,PRIVATA,N/A,N/A,N/A,SI,VIA VOGHERA,27050,RETORBIDO,PV,030328,ATS DI PAVIA,030727,ASST DI PAVIA,894,VOGHERA-VARZI,038374357,44.95446,9.03213
4956,OSPEDALE CIVILE VIGEVANO-NEFROLOGIA-1-CAL-1 (C.A.L. OSPEDALE CASORATE),CENTRO DI ASSISTENZA LIMITATA (DIALISI),ASSISTENZA LIMITATA DIALISI,PUBBLICA,N/A,N/A,N/A,SI,LARGO AVIS,1,27022,CASORATE PRIMO,PV,030328,ATS DI PAVIA,030727,ASST DI PAVIA,888,CERTOSA,02900401,45.31227,9.01901
4957,STRUTTURA RICOVERO E CURA  DI SONDRIO-EMODIALISI-1-CAL-3 (C.A.L. SONDALO),CENTRO DI ASSISTENZA LIMITATA (DIALISI),ASSISTENZA LIMITATA DIALISI,PUBBLICA,N/A,N/A,N/A,SI,VIA AUSONIO ZUBIANI,33,23035,SONDALO,SO,030323,ATS DELLA MONTAGNA,030713,ASST DELLA VALTELLINA E DELL'ALTO LARIO,843,BORMIO,0342808111,46.33266,10.33407
4958,PRESIDIO OSPEDALIERO DI CREMONA-NEFROLOGIA-1-CAL-2 (C.A.L. SORESINA),CENTRO DI ASSISTENZA LIMITATA (DIALISI),ASSISTENZA LIMITATA DIALISI,PUBBLICA,N/A,N/A,N/A,SI,VIA ANDREA INZANI,4,26015,SORESINA,CR,030327,ATS DELLA VAL PADANA,030724,ASST DI CREMONA,880,CREMONA,0374415490,45.2817,9.87092
4959,VILLA MEARDI-NEUROPSICHIATRIA INFANTILE-1-AMBULATORIO PRINCIPALE-1 (VILLA MEARDI - AMBULATORIO NPI),AMBULATORIO NEUROPSICHIATRICO INFANTILE,ASSISTENZA NEUROPSICHIATRICA INFANTILE,PRIVATA,N/A,N/A,N/A,SI,VIA VOGHERA,SNC,27050,RETORBIDO,PV,030328,ATS DI PAVIA,030727,ASST DI PAVIA,894,VOGHERA-VARZI,038374357,44.94974,9.03587
4960,FONDAZIONE ISTITUTO NEUROLOGICO NAZIONALE CASIMIRO MONDINO-NEUROPSICHIATRIA INFANTILE-1-CENTRO DIURNO-1 (CENTRO DIURNO NPIA),CENTRO DIURNO NEUROPSICHIATRICO INFANTILE,ASSISTENZA NEUROPSICHIATRICA INFANTILE,PRIVATA,N/A,N/A,N/A,SI,VIA TRIESTE,21 PAVIA,27100,PAVIA,PV,030328,ATS DI PAVIA,030727,ASST DI PAVIA,892,PAVIA,03823801,45.1893,9.14677
4961,OSPEDALE "SANTISSIMA TRINITÀ"-PSICHIATRIA-1-AMBULATORIO PRINCIPALE-1 (AMBULATORIO PSICHIATRICO DI ROMANO DI LOMBARDIA),AMBULATORIO PSICHIATRICO,ASSISTENZA PSICHIATRICA,PUBBLICA,N/A,N/A,N/A,SI,VIA G.PASCOLI,27,24058,ROMANO DI LOMBARDIA,BG,030325,ATS DI BERGAMO,030719,ASST DI BERGAMO OVEST,858,BASSA BERGAMASCA,0363990360,45.52086504,9.74867009
4962,FONDAZIONE IRCCS CA' GRANDA - OSPEDALE MAGGIORE POLICLINICO-NEUROPSICHIATRIA INFANTILE-1-AMBULATORIO PRINCIPALE-2 (FONDAZIONE IRCCS "CA' GRANDA" OMP - UONPIA ATTIVITÀ DI RIABILITAZIONE),AMBULATORIO NEUROPSICHIATRICO INFANTILE,ASSISTENZA NEUROPSICHIATRICA INFANTILE,PUBBLICA,N/A,N/A,N/A,SI,VIALE UNGHERIA,29,20138,MILANO,MI,030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030703,ASST FATEBENEFRATELLI SACCO,812,MUNICIPIO 4,0255034400,45.4473512,9.2545619
4963,PRESIDIO OSPEDALIERO DI CREMONA-PSICHIATRIA-1-AMBULATORIO PRINCIPALE-2 (AMBULATORIO DI PSICHIATRIA SORESINA),AMBULATORIO PSICHIATRICO,ASSISTENZA PSICHIATRICA,PUBBLICA,N/A,N/A,N/A,SI,VIA ANDREA INZANI,4,26015,SORESINA,CR,030327,ATS DELLA VAL PADANA,030724,ASST DI CREMONA,880,CREMONA,0374411231,45.2817,9.87092
4964,FONDAZIONE IRCCS CA' GRANDA - OSPEDALE MAGGIORE POLICLINICO-NEUROPSICHIATRIA INFANTILE-1-CENTRO DIURNO-1 (FONDAZIONE IRCCS "CA' GRANDA" OMP - UONPIA CENTRO DIURNO VIALE UNGHERIA),CENTRO DIURNO NEUROPSICHIATRICO INFANTILE,ASSISTENZA NEUROPSICHIATRICA INFANTILE,PUBBLICA,N/A,N/A,N/A,SI,VIALE UNGHERIA,29,20138,MILANO,MI,030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030703,ASST FATEBENEFRATELLI SACCO,812,MUNICIPIO 4,0255034400,45.4473512,9.2545619
4965,BIOS RETE DEI SERVIZI NPIA-NEUROPSICHIATRIA INFANTILE-1-CENTRO DIURNO-2 (BIOS RETE DI SERVIZI NPIA - CENTRO DIURNO),CENTRO DIURNO NEUROPSICHIATRICO INFANTILE,ASSISTENZA NEUROPSICHIATRICA INFANTILE,PRIVATA,N/A,N/A,N/A,SI,VIA VECCHIA,104 B,25034,ORZINUOVI,BS,030326,ATS DI BRESCIA,030722,ASST DELLA FRANCIACORTA,866,BASSA BRESCIANA OCC.,0307281143,45.4048127,9.9147359
4966,PRESIDIO OSPEDALIERO OSPEDALE NIGUARDA CA' GRANDA-PSICHIATRIA-2-CENTRO DIURNO-2 (CD - PSICHIATRIA 2 - PLEBISCITI),CENTRO DIURNO PSICHIATRICO,ASSISTENZA PSICHIATRICA,PUBBLICA,N/A,N/A,N/A,SI,CORSO PLEBISCITI,6,20129,MILANO,MI,030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030703,ASST FATEBENEFRATELLI SACCO,895,MUNICIPIO 3,0264445046,45.4678117,9.2194423
4967,COMUNITÀ AGRIFOGLIO-PSICHIATRIA-1-SRP2-CPA-2 (SRP2 - C.P.A. AGRIFOGLIO),COMUNITA' PROTETTA PSICHIATRICA ALTA PROTEZIONE,ASSISTENZA PSICHIATRICA,PRIVATA,N/A,N/A,N/A,SI,VIA CONIUGI ANTONIOLI,2/A,22030,MAGREGLIO,CO,030322,ATS DELL'INSUBRIA,030712,ASST LARIANA,829,LARIANA EST,031965275,45.9212526,9.2613382
4968,STRUTTURA RICOVERO E CURA  DI SONDRIO-POLIAMBULATORIO DI MEDICINA SPORTIVA-1-AMBULATORIO DI MEDICINA SPORTIVA-1 (UO POLIAMBULATORIO DI MEDICNA SPORTIVA),AMBULATORIO DI MEDICINA SPORTIVA,MEDICINA SPORTIVA,PUBBLICA,N/A,N/A,N/A,SI,VIA PRADELLI,215,23010,BERBENNO DI VALTELLINA,SO,030323,ATS DELLA MONTAGNA,030713,ASST DELLA VALTELLINA E DELL'ALTO LARIO,847,SONDRIO,3341036280,46.1627782,9.7406202
4969,OSPEDALE "CADUTI BOLLATESI"-PSICHIATRIA-1-AMBULATORIO PRINCIPALE-1 (AMBULATORIO PSICHIATRIA GIUDIZIARIA),AMBULATORIO PSICHIATRICO,ASSISTENZA PSICHIATRICA,PUBBLICA,N/A,N/A,N/A,SI,VIALE DELLA REPUBBLICA,13,20037,PADERNO DUGNANO,MI,030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030706,ASST RHODENSE,817,GARBAGNATE MILANESE,02994301822,45.57048,9.16902
4970,CENTRO CLINICO NEMO BRESCIA-RIABILITAZIONE SPECIALISTICA-1-AMBULATORIO PRINCIPALE-1 (CENTRO CLINICO NEMO BRESCIA),AMBULATORIO SPECIALISTICO,ASSISTENZA SPECIALISTICA,PRIVATA,N/A,N/A,N/A,SI,VIA PAOLO RICHIEDEI,16,25064,GUSSAGO,BS,030326,ATS DI BRESCIA,030721,ASST DEGLI SPEDALI CIVILI DI BRESCIA,870,BRESCIA OVEST,0306729100,45.58965,10.15327
4971,SPEDALI CIVILI DI BRESCIA-PSICHIATRIA-1-SRP2-CPM-7 (SRP2-CPM-7 BRESCIA VIA DIVISIONE ACQUI 99),COMUNITA' PROTETTA PSICHIATRICA MEDIA PROTEZIONE,ASSISTENZA PSICHIATRICA,PUBBLICA,N/A,N/A,N/A,SI,VIA DIVISIONE ACQUI,99,25126,BRESCIA,BS,030326,ATS DI BRESCIA,030721,ASST DEGLI SPEDALI CIVILI DI BRESCIA,868,BRESCIA,0303452672,45.5364173,10.1978429
4972,PRESIDIO OSPEDALIERO OSPEDALE NIGUARDA CA' GRANDA-PSICHIATRIA-2-AMBULATORIO PRINCIPALE-2 (AMB. OSPEDALIERO - PSICHIATRIA 2 - DIVISIONALE),AMBULATORIO PSICHIATRICO,ASSISTENZA PSICHIATRICA,PUBBLICA,N/A,N/A,N/A,SI,VIA GIACOMO FILIPPO BESTA,1,20161,MILANO,MI,030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030701,ASST GRANDE OSPEDALE METROPOLITANO NIGUARDA,810,MUNICIPIO 9,0264445197,45.5192343,9.1641508
4973,PRESIDIO OSPEDALIERO OSPEDALE NIGUARDA CA' GRANDA-NEUROPSICHIATRIA INFANTILE-1-POLO TERRITORIALE-1 (UONPIA - POLO TERRIT. 2-9),POLO TERRITORIALE DI NEUROPSICHIATRIA INFANTILE,ASSISTENZA NEUROPSICHIATRICA INFANTILE,PUBBLICA,N/A,N/A,N/A,SI,VIA CHERASCO,5,20162,MILANO,MI,030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030701,ASST GRANDE OSPEDALE METROPOLITANO NIGUARDA,810,MUNICIPIO 9,0264445414,45.5101183,9.1927357
4974,PRESIDIO OSPEDALIERO OSPEDALE NIGUARDA CA' GRANDA-NEUROPSICHIATRIA INFANTILE-1-POLO TERRITORIALE-2 (UONPIA - POLO TERRIT. 7-8),POLO TERRITORIALE DI NEUROPSICHIATRIA INFANTILE,ASSISTENZA NEUROPSICHIATRICA INFANTILE,PUBBLICA,N/A,N/A,N/A,SI,VIA IPPOCRATE,45,20161,MILANO,MI,030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030701,ASST GRANDE OSPEDALE METROPOLITANO NIGUARDA,810,MUNICIPIO 9,0264445206,45.5215417,9.1640926
4975,PRESIDIO OSPEDALIERO OSPEDALE NIGUARDA CA' GRANDA-PSICHIATRIA-1-CPS-2 (CPS - "LITTA MODIGNANI" - PSICHIATRIA 1),CENTRO PSICO SOCIALE,ASSISTENZA PSICHIATRICA,PUBBLICA,N/A,N/A,N/A,SI,VIA ALESSANDRO LITTA MODIGNANI,61,20161,MILANO,MI,030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030701,ASST GRANDE OSPEDALE METROPOLITANO NIGUARDA,810,MUNICIPIO 9,0264445269,45.5224006,9.1583723
4976,PRESIDIO OSPEDALIERO OSPEDALE NIGUARDA CA' GRANDA-PSICHIATRIA-1-AMBULATORIO PRINCIPALE-1 (AMB. OSPEDALIERO - PSICHIATRIA 1 - DIVISIONALE),AMBULATORIO PSICHIATRICO,ASSISTENZA PSICHIATRICA,PUBBLICA,N/A,N/A,N/A,SI,PIAZZA DELL'OSPEDALE MAGGIORE,20162,MILANO,MI,030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030701,ASST GRANDE OSPEDALE METROPOLITANO NIGUARDA,810,MUNICIPIO 9,0264442777,45.50626,9.1883
4977,PRESIDIO OSPEDALIERO OSPEDALE NIGUARDA CA' GRANDA-PSICHIATRIA-1-CENTRO DIURNO-2 (CD - PSICHIATRIA 1 - LITTA MODIGNANI),CENTRO DIURNO PSICHIATRICO,ASSISTENZA PSICHIATRICA,PUBBLICA,N/A,N/A,N/A,SI,VIA ALESSANDRO LITTA MODIGNANI,61,20161,MILANO,MI,030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030701,ASST GRANDE OSPEDALE METROPOLITANO NIGUARDA,810,MUNICIPIO 9,0264445213,45.5224006,9.1583723
4978,PRESIDIO OSPEDALIERO OSPEDALE NIGUARDA CA' GRANDA-PSICHIATRIA-1-CENTRO DIURNO-3 (CD - PSICHIATRIA 1 - BESTA),CENTRO DIURNO PSICHIATRICO,ASSISTENZA PSICHIATRICA,PUBBLICA,N/A,N/A,N/A,SI,VIA GIACOMO FILIPPO BESTA,1,20161,MILANO,MI,030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030701,ASST GRANDE OSPEDALE METROPOLITANO NIGUARDA,810,MUNICIPIO 9,0264445196,45.5192343,9.1641508
4979,OSPEDALE SAN PAOLO-NEUROPSICHIATRIA INFANTILE-2-POLO TERRITORIALE-1 (UONPIA POLO TERR. PROGETTO SPECIALE DISTURBI CONDOTTA ALIMENTARE),POLO TERRITORIALE DI NEUROPSICHIATRIA INFANTILE,ASSISTENZA NEUROPSICHIATRICA INFANTILE,PUBBLICA,N/A,N/A,N/A,SI,VIA OVADA,38,20142,MILANO,MI,030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030702,ASST SANTI PAOLO E CARLO,814,MUNICIPIO 6,0281843405,45.4356221,9.1601098
4980,OSPEDALE SAN PAOLO-NEUROPSICHIATRIA INFANTILE-2-POLO TERRITORIALE-2 (UONPIA VIALE TIBALDI),POLO TERRITORIALE DI NEUROPSICHIATRIA INFANTILE,ASSISTENZA NEUROPSICHIATRICA INFANTILE,PUBBLICA,N/A,N/A,N/A,SI,VIALE TIBALDI,41,20136,MILANO,MI,030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030702,ASST SANTI PAOLO E CARLO,813,MUNICIPIO 5,0281843487,45.4446063,9.1832063
4981,OSPEDALE SAN PAOLO-NEUROPSICHIATRIA INFANTILE-2-POLO TERRITORIALE-3 (UONPIA VIA BARABINO),POLO TERRITORIALE DI NEUROPSICHIATRIA INFANTILE,ASSISTENZA NEUROPSICHIATRICA INFANTILE,PUBBLICA,N/A,N/A,N/A,SI,VIA NICOLO' BARABINO,8,20139,MILANO,MI,030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030703,ASST FATEBENEFRATELLI SACCO,812,MUNICIPIO 4,0281843435,45.4336612,9.2220632
4982,PRESIDIO OSPEDALIERO S.CARLO BORROMEO-NEUROPSICHIATRIA INFANTILE-2-POLO TERRITORIALE-2 (UONPIA VIA VAL D'INTELVI),POLO TERRITORIALE DI NEUROPSICHIATRIA INFANTILE,ASSISTENZA NEUROPSICHIATRICA INFANTILE,PUBBLICA,N/A,N/A,N/A,SI,VIA VAL D'INTELVI,1,20152,MILANO,MI,030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030702,ASST SANTI PAOLO E CARLO,896,MUNICIPIO 7,0248911909,45.4595971,9.0881126
4983,PRESIDIO OSPEDALIERO S.CARLO BORROMEO-NEUROPSICHIATRIA INFANTILE-2-POLO TERRITORIALE-1 (UONPIA VIA REMO LA VALLE),POLO TERRITORIALE DI NEUROPSICHIATRIA INFANTILE,ASSISTENZA NEUROPSICHIATRICA INFANTILE,PUBBLICA,N/A,N/A,N/A,SI,VIA REMO LA VALLE,7,20147,MILANO,MI,030321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030702,ASST SANTI PAOLO E CARLO,896,MUNICIPIO 7,0248314603,45.4456406,9.126945
